windowSize,accuracy,participantID
600,0.980377358491,3
600,0.670539419087,8
600,0.982503364738,4
1000,0.989924433249,3
1000,0.677731673582,8
1000,0.988764044944,4
1400,0.985890652557,3
1400,0.697674418605,8
1400,0.990566037736,4
1800,0.979545454545,3
1800,0.714640198511,8
1800,0.99593495935,4
2200,0.98891966759,3
2200,0.730303030303,8
2200,0.985221674877,4
2600,0.986885245902,3
2600,0.669064748201,8
2600,0.988304093567,4
3000,0.984905660377,3
3000,0.708333333333,8
3000,0.986577181208,4
3400,0.982905982906,3
3400,0.680751173709,8
3400,1.0,4
3800,0.980861244019,3
3800,0.748691099476,8
3800,0.98275862069,4
4200,0.984126984127,3
4200,0.766081871345,8
4200,0.961904761905,4
4600,0.982456140351,3
4600,0.729032258065,8
4600,0.989690721649,4
5000,0.98125,3
5000,0.678321678322,8
5000,0.977272727273,4
5400,0.986301369863,3
5400,0.744360902256,8
5400,0.975308641975,4
5800,0.963235294118,3
5800,0.685483870968,8
5800,1.0,4
6200,0.9921875,3
6200,0.586206896552,8
6200,0.972222222222,4
6600,0.975,3
6600,0.807339449541,8
6600,0.970149253731,4
7000,0.973451327434,3
7000,0.586538461538,8
7000,0.952380952381,4
7400,0.943925233645,3
7400,0.59793814433,8
7400,0.983333333333,4
7800,0.990099009901,3
7800,0.659340659341,8
7800,0.982456140351,4
8200,0.989583333333,3
8200,0.460674157303,8
8200,0.981132075472,4
8600,1.0,3
8600,0.547619047619,8
8600,1.0,4
9000,0.944444444444,3
9000,0.5875,8
9000,0.979591836735,4
9400,0.97619047619,3
9400,0.766233766234,8
9400,0.957446808511,4
9800,0.975308641975,3
9800,0.712328767123,8
9800,0.95652173913,4
